56945,56945,56945,56945,56945,6400,56931,56945,56945,56945,56945,1
56945,56945,56945,56945,56945,29753,56931,56945,56945,56945,56945,0
56945,56945,56945,56945,6400,56931,56945,56945,56945,56945,56945,1
56945,56945,56945,56945,6400,10165,56945,56945,56945,56945,56945,0
56945,56945,56945,56945,56945,3959,56946,26572,56933,17515,56946,1
56945,56945,56945,56945,56945,56946,56946,26572,56933,17515,56946,0
56945,56945,56945,56945,3959,56946,26572,56933,17515,56946,17994,1
56945,56945,56945,56945,3959,10916,26572,56933,17515,56946,17994,0
56945,56945,56945,3959,56946,26572,56933,17515,56946,17994,20789,1
56945,56945,56945,3959,56946,6752,56933,17515,56946,17994,20789,0
56945,56945,3959,56946,26572,56933,17515,56946,17994,20789,26572,1
56945,56945,3959,56946,26572,2665,17515,56946,17994,20789,26572,0
56945,3959,56946,26572,56933,17515,56946,17994,20789,26572,56933,1
56945,3959,56946,26572,56933,56946,56946,17994,20789,26572,56933,0
3959,56946,26572,56933,17515,56946,17994,20789,26572,56933,6235,1
3959,56946,26572,56933,17515,7251,17994,20789,26572,56933,6235,0
56946,26572,56933,17515,56946,17994,20789,26572,56933,6235,26192,1
56946,26572,56933,17515,56946,32030,20789,26572,56933,6235,26192,0
26572,56933,17515,56946,17994,20789,26572,56933,6235,26192,15870,1
26572,56933,17515,56946,17994,25207,26572,56933,6235,26192,15870,0
56933,17515,56946,17994,20789,26572,56933,6235,26192,15870,56946,1
56933,17515,56946,17994,20789,10654,56933,6235,26192,15870,56946,0
17515,56946,17994,20789,26572,56933,6235,26192,15870,56946,26572,1
17515,56946,17994,20789,26572,10138,6235,26192,15870,56946,26572,0
56946,17994,20789,26572,56933,6235,26192,15870,56946,26572,56933,1
56946,17994,20789,26572,56933,37307,26192,15870,56946,26572,56933,0
17994,20789,26572,56933,6235,26192,15870,56946,26572,56933,56522,1
17994,20789,26572,56933,6235,5724,15870,56946,26572,56933,56522,0
20789,26572,56933,6235,26192,15870,56946,26572,56933,56522,56946,1
20789,26572,56933,6235,26192,32230,56946,26572,56933,56522,56946,0
26572,56933,6235,26192,15870,56946,26572,56933,56522,56946,15870,1
26572,56933,6235,26192,15870,4235,26572,56933,56522,56946,15870,0
56933,6235,26192,15870,56946,26572,56933,56522,56946,15870,13744,1
56933,6235,26192,15870,56946,56946,56933,56522,56946,15870,13744,0
6235,26192,15870,56946,26572,56933,56522,56946,15870,13744,56933,1
6235,26192,15870,56946,26572,49531,56522,56946,15870,13744,56933,0
26192,15870,56946,26572,56933,56522,56946,15870,13744,56933,21127,1
26192,15870,56946,26572,56933,43939,56946,15870,13744,56933,21127,0
15870,56946,26572,56933,56522,56946,15870,13744,56933,21127,16098,1
15870,56946,26572,56933,56522,31615,15870,13744,56933,21127,16098,0
56946,26572,56933,56522,56946,15870,13744,56933,21127,16098,15870,1
56946,26572,56933,56522,56946,51711,13744,56933,21127,16098,15870,0
26572,56933,56522,56946,15870,13744,56933,21127,16098,15870,56946,1
26572,56933,56522,56946,15870,33796,56933,21127,16098,15870,56946,0
56933,56522,56946,15870,13744,56933,21127,16098,15870,56946,56933,1
56933,56522,56946,15870,13744,56946,21127,16098,15870,56946,56933,0
56522,56946,15870,13744,56933,21127,16098,15870,56946,56933,26212,1
56522,56946,15870,13744,56933,28880,16098,15870,56946,56933,26212,0
56946,15870,13744,56933,21127,16098,15870,56946,56933,26212,56946,1
56946,15870,13744,56933,21127,56946,15870,56946,56933,26212,56946,0
